Metric,VendorNumber,Brand,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio,UnitPurchasePrice,UnsoldInventoryValue
VendorNumber,1.0,0.07428248260301218,-0.01861723546192572,-0.018044460448780733,0.0032114864366071293,-0.05930677286434991,-0.04715524818263221,-0.059956327827594816,-0.05076547092220668,-0.07483368520307819,-0.033051090436342086,-0.21455657789644625,-0.058795684508102186,-0.02197641921636038,-0.01570989047768188,-0.01478747713100697,-0.01861723546192572,-0.0018372719225176668
Brand,0.07428248260301218,1.0,-0.03597927203637566,-0.02122267483377183,-0.0009551887921822399,-0.14122904297508737,-0.1538026725944936,-0.1424853440064815,-0.14733615899960312,-0.24523293351333775,-0.16182153622037046,-0.16404928345608882,-0.12522832037135803,0.07208743236916193,-0.02573544032652429,-0.012676820238686366,-0.03597927203637566,-0.05386731634340361
PurchasePrice,-0.01861723546192572,-0.03597927203637566,1.0,0.9948927410239107,0.02840881386622661,-0.04646837697112161,-0.010427227825174336,-0.04685439877110007,-0.012188197844683508,-0.007547086675046036,-0.015931659540345925,-0.00045011944649688175,-0.016512754945393112,0.038523731104258094,0.003173117115093702,0.002023108940182964,1.0,-0.010271295242625256
ActualPrice,-0.018044460448780733,-0.02122267483377183,0.9948927410239107,1.0,0.03211480954958972,-0.05048810873389226,-0.014039984956244863,-0.05088462355146125,-0.015552363558727711,-0.013459798758886237,-0.019238949830046155,-0.004635487433252281,-0.019101591285820452,0.04835875729883573,0.003738799282697288,0.0030449702478316638,0.9948927410239108,-0.012924392598504227
Volume,0.0032114864366071293,-0.0009551887921822399,0.02840881386622661,0.03211480954958972,1.0,0.010669479198786875,0.09552209382944904,0.010101988515048675,0.0976385738219814,0.1352362769995185,0.12987881726699055,-0.01646570994834965,0.10014572306025701,-0.05465565098920468,-0.03801556864174856,-0.03775056588566442,0.02840881386622661,0.02913881369546782
TotalPurchaseQuantity,-0.05930677286434991,-0.14122904297508737,-0.04646837697112161,-0.05048810873389226,0.010669479198786875,1.0,0.6736335590713586,0.999121288767549,0.6852835121074558,0.5462621534162905,0.6173631831128983,0.168047518863967,0.6942909545320903,-0.1213955353902453,-0.047605554395196835,-0.049790350882029835,-0.04646837697112161,0.2423175446414311
TotalPurchaseDollars,-0.04715524818263221,-0.1538026725944936,-0.010427227825174336,-0.014039984956244863,0.09552209382944904,0.6736335590713586,1.0,0.6709988154865262,0.9967377365499313,0.8224474792661443,0.8826806748819741,0.152730481504099,0.955680893484526,-0.12094979060899808,-0.04075463845627758,-0.043388444819766434,-0.010427227825174325,0.4075925886395278
TotalSalesQuantity,-0.059956327827594816,-0.1424853440064815,-0.04685439877110007,-0.05088462355146125,0.010101988515048675,0.999121288767549,0.6709988154865262,1.0,0.6837523110680838,0.5434577617159356,0.6169987819609394,0.16930766278675716,0.6957670689925114,-0.11149906811694209,-0.043588029689963566,-0.045922658835335986,-0.04685439877110006,0.2147970840527891
TotalSalesDollars,-0.05076547092220668,-0.14733615899960312,-0.012188197844683508,-0.015552363558727711,0.0976385738219814,0.6852835121074558,0.9967377365499313,0.6837523110680838,1.0,0.8270047973025966,0.873039354089855,0.15167382096842014,0.9763242001498622,-0.1079784654431866,-0.04019575372168536,-0.04248802351320136,-0.012188197844683496,0.3699627091906183
TotalSalesPrice,-0.07483368520307819,-0.24523293351333775,-0.007547086675046036,-0.013459798758886237,0.1352362769995185,0.5462621534162905,0.8224474792661443,0.5434577617159356,0.8270047973025966,1.0,0.6650497712984572,0.19790946907617873,0.8124083226719697,-0.179708615364096,-0.0653650598104593,-0.06918516427228459,-0.007547086675046043,0.3831638635809043
