Rank,VendorName,TotalPurchaseDollars,GrossProfit,TotalSalesDollars,PurchaseContributionPct,CumulativeContributionPct
1,DIAGEO NORTH AMERICA INC,50097226.16,17892873.259999998,67990099.42,16.34078942415037,16.34078942415037
2,MARTIGNETTI COMPANIES,25502095.83,13828263.53,39330359.36,8.318312405193918,24.659101829344287
3,PERNOD RICARD USA,23851164.17,8212032.019999999,32063196.189999998,7.779809005353726,32.438910834698014
4,JIM BEAM BRANDS COMPANY,23494304.32,7928716.14,31423020.46,7.6634079167154106,40.10231875141342
5,BACARDI USA INC,17432020.26,7422796.88,24854817.14,5.686002881605113,45.78832163301853
6,CONSTELLATION BRANDS INC,15273708.08,8945037.57,24218745.65,4.982001332051875,50.770322965070406
7,BROWN-FORMAN CORP,13238939.18,5008291.47,18247230.65,4.318297317471957,55.088620282542365
8,E & J GALLO WINERY,12068539.22,6331360.24,18399899.46,3.9365344784015472,59.02515476094391
9,ULTRA BEVERAGE COMPANY LLP,11129072.75,5327038.68,16456111.43,3.630097876337193,62.65525263728111
10,M S WALKER INC,9746562.11,4932967.44,14679529.55,3.1791484530550447,65.83440109033616
11,MOET HENNESSY USA INC,9250580.36,4105873.3200000003,13356453.68,3.017368371477538,68.85176946181369
12,SAZERAC CO INC,9075976.8,3185452.11,12261428.91,2.9604159167137833,71.81218537852747
13,PROXIMO SPIRITS INC.,7331096.34,2960378.36,10291474.7,2.391268154398341,74.20345353292582
14,WILLIAM GRANT & SONS INC,5876538.26,1693337.94,7569876.2,1.9168181875565744,76.12027172048239
15,WINE GROUP INC,5203801.17,3100242.11,8304043.28,1.6973837803421674,77.81765550082456
16,PERFECTA WINES,4565948.47,2484608.85,7050557.32,1.489328016515307,79.30698351733986
17,CAMPARI AMERICA,4052963.68,1483133.2899999998,5536096.97,1.3220018574898593,80.62898537482972
18,MAJESTIC FINE WINES,3505853.11,1868978.2000000004,5374831.3100000005,1.1435444996404702,81.7725298744702
19,SAZERAC NORTH AMERICA INC.,3504979.06,1437068.05,4942047.11,1.1432594006820858,82.91578927515228
20,SOUTHERN WINE & SPIRITS NE,3430367.42,2110612.98,5540980.4,1.1189224624664527,84.03471173761874
21,"STOLI GROUP,(USA) LLC",3405741.88,1113486.22,4519228.1,1.110890066375084,85.14560180399381
22,REMY COINTREAU USA INC,3130918.49,997660.4999999999,4128578.99,1.0212477550327679,86.16684955902659
23,STE MICHELLE WINE ESTATES,3072111.15,1817809.17,4889920.32,1.002065887428655,87.16891544645524
24,TREASURY WINE ESTATES,2884603.55,1802505.64,4687109.19,0.9409043732713247,88.10981981972657
25,PINE STATE TRADING CO,2865890.04,1614168.98,4480059.02,0.934800372117247,89.04462019184382
26,HEAVEN HILL DISTILLERIES,2644130.1,1024598.4099999999,3668728.51,0.8624663776026849,89.9070865694465
27,PALM BAY INTERNATIONAL INC,2546769.05,1369284.97,3916054.02,0.8307090022325795,90.73779557167909
28,TRINCHERO FAMILY ESTATES,2154699.95,1234266.24,3388966.19,0.702823306877822,91.4406188785569
29,EDRINGTON AMERICAS,1878614.18,643664.17,2522278.35,0.6127692305070912,92.053388109064
30,LUXCO INC,1862411.01,844081.92,2706492.93,0.6074840558723104,92.66087216493631
31,KOBRAND CORPORATION,1741559.47,1049960.24,2791519.71,0.5680645167461887,93.2289366816825
32,SIDNEY FRANK IMPORTING CO,1715908.8800000001,540462.37,2256371.25,0.5596977682867723,93.78863444996927
33,CASTLE BRANDS CORP.,1626446.23,642718.0099999999,2269164.2399999998,0.5305167050417235,94.31915115501099
34,BANFI PRODUCTS CORP,1608143.72,1023941.41,2632085.13,0.5245467644927556,94.84369791950374
35,MHW LTD,1600532.8699999999,735640.44,2336173.31,0.5220642458640475,95.36576216536778
36,DELICATO VINEYARDS INC,1494318.8900000001,812223.4899999999,2306542.38,0.4874192083216953,95.85318137368948
37,STATE WINE & SPIRITS,1455770.99,790073.5800000001,2245844.57,0.47484559567033946,96.32802696935983
38,DIAGEO CHATEAU ESTATE WINES,1279691.73,835310.38,2115002.11,0.4174117948361213,96.74543876419595
39,VINEYARD BRANDS INC,1175591.29,649763.34,1825354.63,0.38345615498555363,97.1288949191815
40,DISARONNO INTERNATIONAL LLC,1141947.85,583311.38,1725259.23,0.37248228655642707,97.50137720573794
41,FREDERICK WILDMAN & SONS,602133.6799999999,419400.19,1021533.87,0.19640487955648406,97.69778208529442
42,SHAW ROSS INT L IMP LTD,596585.0,244104.58,840689.58,0.1945950026748297,97.89237708796925
43,VINILANDIA USA,501087.21,285840.64999999997,786927.86,0.16344538828544627,98.0558224762547
44,OLE SMOKY DISTILLERY LLC,387622.69,110979.94999999998,498602.63999999996,0.1264353585781987,98.1822578348329
45,PHILLIPS PRODUCTS CO.,329509.32,192432.37999999998,521941.7,0.10747985116417831,98.28973768599707
46,CHARLES JACQUIN ET CIE INC,325229.02,120791.38999999998,446020.41,0.10608369640006411,98.39582138239713
47,LATITUDE BEVERAGE COMPANY,309146.24,157766.56,466912.8,0.10083779075859023,98.49665917315572
48,FLAG HILL WINERY & VINEYARD,300403.2,111403.91999999998,411807.12,0.09798597267368003,98.5946451458294
49,WESTERN SPIRITS BEVERAGE CO,298416.86,106837.97000000002,405254.83,0.09733806527135996,98.69198321110076
50,MCCORMICK DISTILLING CO,254630.94,84297.93999999999,338928.88,0.08305590728964758,98.77503911839041
51,CALEDONIA SPIRITS INC,221250.02000000002,24504.939999999995,245754.96000000002,0.07216766803340031,98.84720678642381
52,CRUSH WINES,220914.0,149647.88999999998,370561.89,0.07205806451873133,98.91926485094254
53,VRANKEN AMERICA,207317.5,133481.61,340799.11,0.06762313746916032,98.9868879884117
54,MANGO BOTTLING INC,204510.38,37781.13000000001,242291.51,0.06670750679807645,99.05359549520978
55,FABRIZIA SPIRITS LLC,169240.0,62833.57000000001,232073.57,0.05520296060525856,99.10879845581503
56,MARSALLE COMPANY,164034.53,38882.85999999999,202917.38999999998,0.05350503248340879,99.16230348829845
57,SWEET BABY VINEYARD,140577.9,43675.37000000001,184253.27000000002,0.045853913233691666,99.20815740153213
58,Serralles Usa LLC,135637.15,58296.06999999997,193933.21999999997,0.04424233188406728,99.2523997334162
59,LABELLE VYDS AND WINERY,135621.05,63306.66,198927.71,0.04423708036158001,99.29663681377778
60,DUGGANS DISTILLED PRODUCTS,133190.34,26073.069999999992,159263.41,0.043444227676796225,99.34008104145458
61,PSP WINES,117552.55,48735.829999999994,166288.38,0.038343469550329044,99.37842451100491
62,SEA HAGG DISTILLERY LLC,114125.74,26801.809999999998,140927.55,0.037225707452528844,99.41565021845744
63,AMERICAN VINTAGE BEVERAGE,104435.68,35167.85,139603.53,0.03406498894365037,99.4497152074011
64,KLIN SPIRITS LLC,103484.29,44191.649999999994,147675.94,0.033754663106435545,99.48346987050753
65,LAIRD & CO,96527.28,39550.78,136078.06,0.031485415003384316,99.51495528551092
66,VINEXTRA INC,88185.72,40906.65,129092.37,0.028764552275504385,99.54371983778643
67,ZORVINO VINEYARDS,86122.71,38066.880000000005,124189.59,0.02809163653597322,99.5718114743224
68,PREMIER DISTRIBUTORS,80378.96,24777.959999999992,105156.92,0.0262181314250275,99.59802960574743
69,SEA BREEZE CELLARS LLC,78426.74,50854.6,129281.34,0.02558135333620217,99.62361095908363
70,Russian Standard Vodka,72927.58,39396.85999999999,112324.44,0.02378762896346515,99.6473985880471
71,MOONLIGHT MEADERY,71357.59,23851.179999999997,95208.77,0.023275527237391822,99.67067411528448
72,NICHE W & S,59780.97,30935.659999999996,90716.63,0.019499447718353484,99.69017356300284
73,"PREMIUM PORT WINES, INC.",59760.740000000005,26297.019999999993,86057.76,0.019492849066184707,99.70966641206903
74,Dunn Wine Brokers,58381.75,10450.999999999998,68832.75,0.01904304801061247,99.72870946007964
75,JEWELL TOWNE VINEYARDS,54332.37,30898.45,85230.82,0.0177222150833156,99.74643167516295
76,BULLY BOY DISTILLERS,53798.64,12158.089999999995,65956.73,0.01754812222013996,99.76397979738309
77,TAKARA SAKE USA INC,45289.34,18793.63,64082.97,0.01477254580393619,99.77875234318702
78,POVERTY LANE ORCHARDS,45269.01,28373.080000000005,73642.09000000001,0.014765914533615315,99.79351825772063
79,SURVILLE ENTERPRISES CORP,42954.48,29872.17,72826.65,0.014010957617935282,99.80752921533858
80,WEIN BAUER INC,42694.64000000001,13522.489999999996,56217.13,0.013926202611532124,99.8214554179501
81,ATLANTIC IMPORTING COMPANY,41116.32,18156.429999999997,59272.75,0.013411383793389298,99.83486680174349
82,FORTUNE WINE BROKERS LLC,39273.75,28981.34,68255.09,0.012810371508335932,99.84767717325182
83,DJINN SPIRITS LLC,38735.329999999994,11036.000000000004,49771.33,0.012634748853827048,99.86031192210565
84,CANDIA VINEYARDS,36588.01,16035.319999999998,52623.33,0.01193433275026475,99.87224625485591
85,PARK STREET IMPORTS LLC,33504.15,1903.0399999999931,35407.189999999995,0.010928434605073704,99.88317468946099
86,TALL SHIP DISTILLERY LLC,31160.5,8632.119999999997,39792.619999999995,0.01016397928350366,99.89333866874449
87,SOUTHERN GLAZERS W&S OF NE,27041.64,7689.430000000003,34731.07,0.008820483264131316,99.90215915200862
88,SMOKY QUARTZ DISTILLERY LLC,26076.35,6708.359999999997,32784.71,0.008505623503775313,99.9106647755124
89,ALISA CARR BEVERAGES,25698.12,78772.82,104470.94,0.008382251867107109,99.9190470273795
